"pegawai_id","nip","nama_lengkap","jenis_kelamin","umur","kelompok_umur","generasi","tahun_lahir","tahun_masuk","masa_kerja","kelompok_masa_kerja","status_pegawai","jenis_asn","agama","pendidikan","jabatan","jenis_jabatan","golongan","nama_pangkat","instansi","jenis_instansi","provinsi","predikat_kinerja_terakhir","rata_rata_kinerja","jumlah_cuti","pernah_mutasi","tanggal_snapshot"
12,"199911132022068788",R. Zulfa Rajasa,L,26,"21 - 30",Gen Z (1997-2012),1999,2022,4,"1 - 5",Aktif,PNS,Islam,S1,Pustakawan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Bali,Daerah,Bali,Cukup,72.10,1,false,2026-07-08
13,"199310172015116874",Harja Hakim,L,32,"31 - 40",Milenial (1981-1996),1993,2015,11,"11 - 15",Aktif,PNS,Islam,S1,Kepala Dinas,Struktural,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Nusa Tenggara Barat,Daerah,Nusa Tenggara Barat,Sangat Baik,92.15,7,false,2026-07-08
14,"198510192018029189",Baktianto Yulianti,L,40,"31 - 40",Milenial (1981-1996),1985,2018,8,"6 - 10",Aktif,PNS,Kristen,S1,Pengelola Pengadaan Barang/Jasa,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Papua Tengah,Daerah,Papua Tengah,Cukup,78.40,3,false,2026-07-08
15,"200403302026066973","Tgk. Victoria Narpati, S.I.Kom",P,22,"21 - 30",Gen Z (1997-2012),2004,2026,0,"1 - 5",Aktif,PPPK,Islam,S1,Apoteker,Fungsional,II/a,Pengatur Muda,Kementerian Badan Usaha Milik Negara,Pusat,DKI Jakarta,Baik,80.70,1,false,2026-07-08
16,"196805242026072480","R.A. Ade Situmorang, S.Gz",L,58,"51 - 60",Gen X (1965-1980),1968,2026,0,"1 - 5",Pensiun,PNS,Islam,S2,Analis Kepegawaian Ahli Pertama,Fungsional,IV/b,Pembina Tingkat I,Pemerintah Provinsi Bali,Daerah,Bali,Belum Ada,0.00,1,false,2026-07-08
17,"196911021999066350",Kunthara Firgantoro,L,56,"51 - 60",Gen X (1965-1980),1969,1999,27,"26 - 30",Aktif,PNS,Islam,S1,Pengawas Ketenagakerjaan,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Gorontalo,Daerah,Gorontalo,Baik,82.79,5,true,2026-07-08
18,"199801312026010836",drg. Intan Utami,P,28,"21 - 30",Gen Z (1997-2012),1998,2026,0,"1 - 5",Aktif,PNS,Kristen,S1,Penghulu,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Lampung,Daerah,Lampung,Baik,83.80,1,false,2026-07-08
19,"196905311999065538",Mujur Mustofa,P,57,"51 - 60",Gen X (1965-1980),1969,1999,27,"26 - 30",Aktif,PNS,Islam,S1,Kepala Subbagian,Struktural,III/a,Penata Muda,Kementerian Ketenagakerjaan,Pusat,DKI Jakarta,Baik,80.31,4,false,2026-07-08
20,"199301292021114741",Clara Lailasari,P,33,"31 - 40",Milenial (1981-1996),1993,2021,5,"1 - 5",Aktif,PPPK,Islam,D3,Dokter,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Baik,81.01,6,false,2026-07-08
21,"199511232024027500","Jasmin Sihombing, S.IP",P,30,"21 - 30",Milenial (1981-1996),1995,2024,2,"1 - 5",Aktif,PPPK,Islam,S1,Perencana Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Luar Negeri,Pusat,DKI Jakarta,Baik,82.57,2,false,2026-07-08
22,"199610262020126806",Intan Waskita,L,29,"21 - 30",Milenial (1981-1996),1996,2020,6,"6 - 10",Aktif,PNS,Islam,S2,Analis Kebijakan Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Cukup,72.05,6,false,2026-07-08
23,"199506142025038968","Simon Prakasa, S.Sos",L,31,"31 - 40",Milenial (1981-1996),1995,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Pustakawan Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Jawa Barat,Daerah,Jawa Barat,Baik,82.34,1,false,2026-07-08
24,"197406272011034157",Zulfa Anggraini,L,52,"51 - 60",Gen X (1965-1980),1974,2011,15,"11 - 15",Aktif,PNS,Islam,S1,Kepala Bidang,Struktural,III/c,Penata,Pemerintah Provinsi Kalimantan Selatan,Daerah,Kalimantan Selatan,Baik,81.60,7,false,2026-07-08
25,"199312122020064804",Ellis Palastri,P,32,"31 - 40",Milenial (1981-1996),1993,2020,6,"6 - 10",Aktif,PNS,Islam,S1,Auditor Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Pertahanan,Pusat,DKI Jakarta,Sangat Baik,90.82,9,false,2026-07-08
26,"199609232018054049",Eja Anggraini,L,29,"21 - 30",Milenial (1981-1996),1996,2018,8,"6 - 10",Aktif,PNS,Islam,D3,Statistisi Ahli Pertama,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Kalimantan Utara,Daerah,Kalimantan Utara,Cukup,75.10,4,false,2026-07-08
27,"199811082025070831",Vanesa Wahyudin,P,27,"21 - 30",Gen Z (1997-2012),1998,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Pustakawan Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Papua Pegunungan,Daerah,Papua Pegunungan,Baik,82.99,2,false,2026-07-08
28,"197211252007073083","Rama Firgantoro, S.H.",P,53,"51 - 60",Gen X (1965-1980),1972,2007,19,"16 - 20",Aktif,PNS,Islam,S2,Dokter,Fungsional,III/c,Penata,Pemerintah Provinsi Papua Barat Daya,Daerah,Papua Barat Daya,Cukup,74.25,3,false,2026-07-08
29,"197406142001049693",Rafid Narpati,L,52,"51 - 60",Gen X (1965-1980),1974,2001,25,"21 - 25",Aktif,PNS,Katolik,S1,Analis Kepegawaian Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Sumatera Selatan,Daerah,Sumatera Selatan,Cukup,80.17,6,false,2026-07-08
30,"200303162026033392",Adinata Marpaung,P,23,"21 - 30",Gen Z (1997-2012),2003,2026,0,"1 - 5",Aktif,PNS,Islam,S1,Pustakawan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Kementerian Agama,Pusat,DKI Jakarta,Baik,80.48,0,false,2026-07-08
31,"198909162016020939","R. Samiah Putra, S.Pd",L,36,"31 - 40",Milenial (1981-1996),1989,2016,10,"6 - 10",Aktif,PNS,Islam,S1,Analis Data,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Sulawesi Tenggara,Daerah,Sulawesi Tenggara,Cukup,79.56,1,false,2026-07-08
32,"196607122007111844","R.A. Ifa Sitompul, S.Pt",L,59,"51 - 60",Gen X (1965-1980),1966,2007,19,"16 - 20",Aktif,PNS,Islam,S1,Sekretaris,Struktural,III/d,Penata Tingkat I,Kementerian Kesehatan,Pusat,DKI Jakarta,Sangat Baik,90.71,5,false,2026-07-08
33,"197810222011034575",Darman Simanjuntak,P,47,"41 - 50",Gen X (1965-1980),1978,2011,15,"11 - 15",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Pertama,Fungsional,III/c,Penata,Pemerintah Provinsi Bali,Daerah,Bali,Cukup,75.49,4,false,2026-07-08
34,"197208031997073642","R.M. Dagel Rajasa, S.T.",P,53,"51 - 60",Gen X (1965-1980),1972,1997,29,"26 - 30",Aktif,PNS,Islam,S1,Pustakawan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Kementerian Ketenagakerjaan,Pusat,DKI Jakarta,Cukup,78.71,5,true,2026-07-08
35,"199601042023033826","Drs. Raisa Natsir, M.Ak",P,30,"21 - 30",Milenial (1981-1996),1996,2023,3,"1 - 5",Aktif,PNS,Islam,S2,Arsiparis Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Aceh,Daerah,Aceh,Baik,85.45,2,false,2026-07-08
36,"197011212010058755",Ir. Rika Hutagalung,L,55,"51 - 60",Gen X (1965-1980),1970,2010,16,"16 - 20",Aktif,PPPK,Islam,S2,Analis SDM Aparatur Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Cukup,77.02,4,false,2026-07-08
37,"196902181994126055",Lega Tamba,P,57,"51 - 60",Gen X (1965-1980),1969,1994,32,> 30,Pensiun,PNS,Islam,S2,Sekretaris,Struktural,II/a,Pengatur Muda,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,81.93,5,false,2026-07-08
38,"199711292019093342",Ir. Ira Ardianto,L,28,"21 - 30",Gen Z (1997-2012),1997,2019,7,"6 - 10",Aktif,PNS,Islam,S2,Pranata Komputer Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Sulawesi Selatan,Daerah,Sulawesi Selatan,Baik,89.82,4,false,2026-07-08
39,"199108282015075257","Dt. Among Hardiansyah, S.Pd",L,34,"31 - 40",Milenial (1981-1996),1991,2015,11,"11 - 15",Aktif,PPPK,Islam,S1,Analis SDM Aparatur Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Kementerian Pertanian,Pusat,DKI Jakarta,Sangat Baik,89.16,4,false,2026-07-08
40,"200210202024015241",Melinda Wijaya,P,23,"21 - 30",Gen Z (1997-2012),2002,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Pranata Komputer Ahli Pertama,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Papua Barat,Daerah,Papua Barat,Baik,82.67,3,true,2026-07-08
41,"199504052020072282","H. Luhung Mandasari, M.Farm",P,31,"31 - 40",Milenial (1981-1996),1995,2020,6,"6 - 10",Aktif,PPPK,Kristen,S1,Penyuluh Pertanian,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Sumatera Selatan,Daerah,Sumatera Selatan,Sangat Baik,90.86,5,false,2026-07-08
42,"199105262015109040",Dr. Amalia Nasyiah,P,35,"31 - 40",Milenial (1981-1996),1991,2015,11,"11 - 15",Aktif,PNS,Islam,S1,Sekretaris,Struktural,II/b,Pengatur Muda Tingkat I,Kementerian Agama,Pusat,DKI Jakarta,Cukup,73.94,3,false,2026-07-08
43,"200312092025100027","Puti Yuni Sudiati, S.Pd",L,22,"21 - 30",Gen Z (1997-2012),2003,2025,1,"1 - 5",Aktif,PPPK,Islam,S1,Penghulu,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Nusa Tenggara Timur,Daerah,Nusa Tenggara Timur,Sangat Baik,89.92,1,false,2026-07-08
44,"199904062022058754",Betania Mandala,P,27,"21 - 30",Gen Z (1997-2012),1999,2022,4,"1 - 5",Aktif,PNS,Islam,S2,Pranata Komputer Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Tengah,Daerah,Kalimantan Tengah,Baik,82.59,5,false,2026-07-08
45,"196803162012025178",Puti Mutia Tarihoran,L,58,"51 - 60",Gen X (1965-1980),1968,2012,14,"11 - 15",Pensiun,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,IV/a,Pembina,Pemerintah Provinsi Kalimantan Barat,Daerah,Kalimantan Barat,Baik,82.27,4,false,2026-07-08
46,"199103092013129667","drg. Hari Maryati, S.T.",L,35,"31 - 40",Milenial (1981-1996),1991,2013,13,"11 - 15",Aktif,PNS,Islam,S1,Pengawas Ketenagakerjaan,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Kalimantan Timur,Daerah,Kalimantan Timur,Baik,87.63,6,false,2026-07-08
47,"197204182000020854","Nardi Suryono, S.Gz",L,54,"51 - 60",Gen X (1965-1980),1972,2000,26,"26 - 30",Aktif,PNS,Islam,S2,Kepala Dinas,Struktural,III/b,Penata Muda Tingkat I,Kementerian Badan Usaha Milik Negara,Pusat,DKI Jakarta,Baik,81.35,5,false,2026-07-08
48,"197911302014043594","Yuliana Kusmawati, S.Gz",L,46,"41 - 50",Gen X (1965-1980),1979,2014,12,"11 - 15",Aktif,PNS,Islam,S1,Analis Kepegawaian Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Sangat Baik,92.03,5,true,2026-07-08
49,"200211132024103705","Bakijan Lazuardi, S.Ked",P,23,"21 - 30",Gen Z (1997-2012),2002,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Papua Pegunungan,Daerah,Papua Pegunungan,Cukup,75.35,4,false,2026-07-08
50,"197402082024106434",R.A. Cici Rahmawati,L,52,"51 - 60",Gen X (1965-1980),1974,2024,2,"1 - 5",Aktif,PNS,Hindu,S1,Kepala Dinas,Struktural,III/d,Penata Tingkat I,Pemerintah Provinsi Sumatera Selatan,Daerah,Sumatera Selatan,Baik,89.06,3,false,2026-07-08
51,"199001102026050095",Elma Widiastuti,L,36,"31 - 40",Milenial (1981-1996),1990,2026,0,"1 - 5",Aktif,PNS,Islam,S1,Perencana Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Bengkulu,Daerah,Bengkulu,Baik,82.14,1,false,2026-07-08
52,"197202211996101937","Ir. Rusman Situmorang, M.TI.",P,54,"51 - 60",Gen X (1965-1980),1972,1996,30,"26 - 30",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Muda,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Papua,Daerah,Papua,Cukup,74.36,5,true,2026-07-08
53,"197312042000072233",Belinda Rajasa,L,52,"51 - 60",Gen X (1965-1980),1973,2000,26,"26 - 30",Aktif,PNS,Kristen,S1,Apoteker,Fungsional,III/a,Penata Muda,Kementerian Luar Negeri,Pusat,DKI Jakarta,Baik,88.85,4,true,2026-07-08
54,"198006162019036797","Drs. Raden Mandala, M.Farm",P,46,"41 - 50",Gen X (1965-1980),1980,2019,7,"6 - 10",Aktif,PNS,Islam,S1,Analis Kepegawaian Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Gorontalo,Daerah,Gorontalo,Baik,80.64,6,false,2026-07-08
55,"196701312020010737",Drajat Yuliarti,L,59,"51 - 60",Gen X (1965-1980),1967,2020,6,"6 - 10",Pensiun,PNS,Islam,S1,Kepala Dinas,Struktural,IV/b,Pembina Tingkat I,Pemerintah Provinsi Kalimantan Selatan,Daerah,Kalimantan Selatan,Baik,81.77,4,false,2026-07-08
56,"200301162026019691",Cahyono Susanti,P,23,"21 - 30",Gen Z (1997-2012),2003,2026,0,"1 - 5",Aktif,PNS,Islam,D3,Pengelola Pengadaan Barang/Jasa,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,81.49,0,false,2026-07-08
57,"197804142003046042",Ilyas Puspita,P,48,"41 - 50",Gen X (1965-1980),1978,2003,23,"21 - 25",Aktif,PPPK,Islam,S1,Analis Data,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Gorontalo,Daerah,Gorontalo,Baik,82.16,4,false,2026-07-08
58,"199108252024056171",Laras Maryati,L,34,"31 - 40",Milenial (1981-1996),1991,2024,2,"1 - 5",Aktif,PPPK,Islam,S1,Analis Kepegawaian Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Maluku Utara,Daerah,Maluku Utara,Cukup,74.85,3,false,2026-07-08
59,"198304042012073490","KH. Jaka Anggriawan, M.TI.",L,43,"41 - 50",Milenial (1981-1996),1983,2012,14,"11 - 15",Aktif,PNS,Kristen,S2,Analis Kebijakan Ahli Muda,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Nusa Tenggara Barat,Daerah,Nusa Tenggara Barat,Cukup,75.79,6,false,2026-07-08
60,"197610112000089133",Tania Prakasa,L,49,"41 - 50",Gen X (1965-1980),1976,2000,26,"26 - 30",Aktif,PNS,Islam,S2,Dokter,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Papua,Daerah,Papua,Baik,82.22,5,false,2026-07-08
61,"198003302013104571",Winda Mangunsong,P,46,"41 - 50",Gen X (1965-1980),1980,2013,13,"11 - 15",Aktif,PNS,Islam,S1,Analis SDM Aparatur Ahli Muda,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,80.53,4,false,2026-07-08
62,"198005162019086700","R.M. Warsita Hidayat, S.Farm",P,46,"41 - 50",Gen X (1965-1980),1980,2019,7,"6 - 10",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Baik,84.88,4,false,2026-07-08
63,"197205192014119385",Dirja Kusmawati,L,54,"51 - 60",Gen X (1965-1980),1972,2014,12,"11 - 15",Aktif,PNS,Islam,S1,Kepala Dinas,Struktural,III/d,Penata Tingkat I,Pemerintah Provinsi Gorontalo,Daerah,Gorontalo,Baik,80.97,3,false,2026-07-08
64,"199804302020107579","Rosman Napitupulu, S.Psi",P,28,"21 - 30",Gen Z (1997-2012),1998,2020,6,"6 - 10",Aktif,PNS,Kristen,S1,Analis SDM Aparatur Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Baik,81.20,2,false,2026-07-08
65,"198412092015102706","Febi Hutasoit, M.Farm",L,41,"41 - 50",Milenial (1981-1996),1984,2015,11,"11 - 15",Aktif,PNS,Islam,S2,Pranata Komputer Ahli Muda,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Kesehatan,Pusat,DKI Jakarta,Baik,81.55,7,false,2026-07-08
66,"199410312017059744","Drs. Zelaya Pratiwi, S.I.Kom",L,31,"31 - 40",Milenial (1981-1996),1994,2017,9,"6 - 10",Aktif,PNS,Islam,S1,Analis Data,Fungsional,II/a,Pengatur Muda,Kementerian Badan Usaha Milik Negara,Pusat,DKI Jakarta,Baik,83.00,4,false,2026-07-08
67,"199505072024048599","Drs. Karman Aryani, M.Ak",L,31,"31 - 40",Milenial (1981-1996),1995,2024,2,"1 - 5",Aktif,PNS,Islam,S2,Analis Kepegawaian Ahli Pertama,Fungsional,III/a,Penata Muda,Kementerian Agama,Pusat,DKI Jakarta,Baik,80.97,1,false,2026-07-08
68,"200312062025116244","R.A. Dinda Uwais, S.Psi",P,22,"21 - 30",Gen Z (1997-2012),2003,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Penghulu,Fungsional,II/a,Pengatur Muda,Kementerian Keuangan,Pusat,DKI Jakarta,Sangat Baik,90.13,3,false,2026-07-08
69,"196501242024045277","KH. Ibrani Prasasta, S.E.",L,61,>60,Gen X (1965-1980),1965,2024,2,"1 - 5",Pensiun,PNS,Kristen,S2,Sekretaris,Struktural,IV/a,Pembina,Pemerintah Provinsi Jawa Barat,Daerah,Jawa Barat,Cukup,74.17,2,false,2026-07-08
70,"197007022022106764",Nyana Mandasari,P,56,"51 - 60",Gen X (1965-1980),1970,2022,4,"1 - 5",Aktif,PNS,Konghucu,S2,Statistisi Ahli Pertama,Fungsional,IV/a,Pembina,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Baik,82.54,2,true,2026-07-08
71,"198503022009045640",drg. Edi Rahimah,P,41,"41 - 50",Milenial (1981-1996),1985,2009,17,"16 - 20",Aktif,PNS,Islam,S3,Analis Data,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Jambi,Daerah,Jambi,Cukup,73.32,4,false,2026-07-08
72,"196611041998087661",Drs. Faizah Farida,P,59,"51 - 60",Gen X (1965-1980),1966,1998,28,"26 - 30",Pensiun,PPPK,Islam,S1,Auditor Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Baik,80.56,4,false,2026-07-08
73,"200203282025093531","Nadine Kusmawati, S.IP",P,24,"21 - 30",Gen Z (1997-2012),2002,2025,1,"1 - 5",Aktif,PPPK,Islam,D3,Analis Kebijakan Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Baik,83.52,3,false,2026-07-08
74,"197712312019079481",Prasetya Laksita,L,48,"41 - 50",Gen X (1965-1980),1977,2019,7,"6 - 10",Aktif,PPPK,Islam,S2,Kepala Bidang,Struktural,IV/a,Pembina,Pemerintah Provinsi Papua Selatan,Daerah,Papua Selatan,Baik,83.01,6,false,2026-07-08
75,"198901192012070738","Hj. Ajeng Wacana, S.Gz",P,37,"31 - 40",Milenial (1981-1996),1989,2012,14,"11 - 15",Aktif,PNS,Islam,S1,Kepala Dinas,Struktural,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Timur,Daerah,Kalimantan Timur,Sangat Baik,90.06,5,false,2026-07-08
76,"198703052024114828",Gilda Permata,L,39,"31 - 40",Milenial (1981-1996),1987,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Kepala Dinas,Struktural,III/c,Penata,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Baik,82.68,2,false,2026-07-08
77,"199712122022082117","R. Humaira Mahendra, M.Kom.",P,28,"21 - 30",Gen Z (1997-2012),1997,2022,4,"1 - 5",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Nusa Tenggara Timur,Daerah,Nusa Tenggara Timur,Cukup,77.48,8,false,2026-07-08
78,"198105262015056446",Galur Pangestu,L,45,"41 - 50",Milenial (1981-1996),1981,2015,11,"11 - 15",Aktif,PNS,Islam,S1,Statistisi Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Papua Pegunungan,Daerah,Papua Pegunungan,Baik,89.15,4,false,2026-07-08
79,"199907032026078643",Keisha Sihombing,P,27,"21 - 30",Gen Z (1997-2012),1999,2026,0,"1 - 5",Aktif,PPPK,Islam,S1,Analis SDM Aparatur Ahli Muda,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Maluku Utara,Daerah,Maluku Utara,Baik,81.95,2,false,2026-07-08
80,"198009042007012724",Hj. Jelita Simanjuntak,L,45,"41 - 50",Gen X (1965-1980),1980,2007,19,"16 - 20",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Muda,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Pertanian,Pusat,DKI Jakarta,Baik,89.81,4,true,2026-07-08
81,"198106102012127774",R. Cahyanto Tampubolon,P,45,"41 - 50",Milenial (1981-1996),1981,2012,14,"11 - 15",Aktif,PPPK,Islam,S2,Pengelola Pengadaan Barang/Jasa,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Daerah DI Yogyakarta,Daerah,DI Yogyakarta,Cukup,79.85,4,false,2026-07-08
82,"198809072021108415",Padmi Nuraini,L,37,"31 - 40",Milenial (1981-1996),1988,2021,5,"1 - 5",Aktif,PPPK,Islam,S1,Analis Kebijakan Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Sulawesi Barat,Daerah,Sulawesi Barat,Baik,89.04,4,true,2026-07-08
83,"199901262026045719",Lega Sihombing,L,27,"21 - 30",Gen Z (1997-2012),1999,2026,0,"1 - 5",Aktif,PNS,Islam,S1,Pengelola Pengadaan Barang/Jasa,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Maluku,Daerah,Maluku,Baik,80.73,1,false,2026-07-08
