"pegawai_id","nip","nama_lengkap","tempat_lahir","tanggal_lahir","jenis_kelamin","jenis_asn","agama_id","pendidikan_terakhir_id","instansi_id","jabatan_id","pangkat_id","tanggal_masuk","status_pegawai","alamat","created_at","updated_at"
38,"199711292019093342",Ir. Ira Ardianto,Makassar,1997-11-29,L,PNS,1,5,38,11,2,2019-09-27,Aktif,"Gang Asia Afrika No. 688, Serang, Gorontalo 62209",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
39,"199108282015075257","Dt. Among Hardiansyah, S.Pd",Bekasi,1991-08-28,L,PPPK,1,4,7,7,2,2015-07-06,Aktif,"Gang BKR No. 7, Purwokerto, SU 00875",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
40,"200210202024015241",Melinda Wijaya,Bandung,2002-10-20,P,PNS,1,4,43,10,1,2024-01-01,Aktif,"Gang Pasteur No. 441, Subulussalam, Bengkulu 95361",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
41,"199504052020072282","H. Luhung Mandasari, M.Farm",Bogor,1995-04-05,P,PPPK,2,4,17,21,2,2020-07-08,Aktif,"Gang Monginsidi No. 0, Tomohon, Kalimantan Barat 40482",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
42,"199105262015109040",Dr. Amalia Nasyiah,Yogyakarta,1991-05-26,P,PNS,1,4,9,2,2,2015-10-26,Aktif,"Jalan Astana Anyar No. 9, Pagaralam, BB 13725",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
43,"200312092025100027","Puti Yuni Sudiati, S.Pd",Bekasi,2003-12-09,L,PPPK,1,4,28,22,2,2025-10-15,Aktif,"Jalan M.T Haryono No. 127, Parepare, Jambi 82335",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
44,"199904062022058754",Betania Mandala,Surabaya,1999-04-06,P,PNS,1,5,30,11,2,2022-05-22,Aktif,"Jalan Rajawali Barat No. 2, Banjarmasin, KI 08264",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
45,"196803162012025178",Puti Mutia Tarihoran,Yogyakarta,1968-03-16,L,PNS,1,4,29,16,9,2012-02-23,Pensiun,"Gg. Jayawijaya No. 73, Pekalongan, Papua 00742",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
46,"199103092013129667","drg. Hari Maryati, S.T.",Solo,1991-03-09,L,PNS,1,4,32,23,1,2013-12-10,Aktif,"Gg. Erlangga No. 744, Malang, JA 27596",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
47,"197204182000020854","Nardi Suryono, S.Gz",Medan,1972-04-18,L,PNS,1,5,1,1,6,2000-02-06,Aktif,"Jl. Tubagus Ismail No. 299, Denpasar, Nusa Tenggara Barat 82834",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
48,"197911302014043594","Yuliana Kusmawati, S.Gz",Denpasar,1979-11-30,L,PNS,1,4,23,9,8,2014-04-10,Aktif,"Gang Ciwastra No. 943, Mojokerto, Maluku 22343",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
49,"200211132024103705","Bakijan Lazuardi, S.Ked",Bandung,2002-11-13,P,PNS,1,4,46,6,2,2024-10-05,Aktif,"Gang Laswi No. 2, Balikpapan, Bengkulu 36990",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
50,"197402082024106434",R.A. Cici Rahmawati,Tasikmalaya,1974-02-08,L,PNS,4,4,17,1,8,2024-10-06,Aktif,"Gang Sentot Alibasa No. 96, Parepare, Sulawesi Utara 45155",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
51,"199001102026050095",Elma Widiastuti,Tasikmalaya,1990-01-10,L,PNS,1,4,19,14,8,2026-05-26,Aktif,"Jalan Sukajadi No. 44, Tomohon, SR 17872",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
52,"197202211996101937","Ir. Rusman Situmorang, M.TI.",Palembang,1972-02-21,P,PNS,1,4,42,6,1,1996-10-01,Aktif,"Jalan Merdeka No. 203, Bima, KT 83217",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
53,"197312042000072233",Belinda Rajasa,Surabaya,1973-12-04,L,PNS,2,4,3,20,5,2000-07-21,Aktif,"Jl. KH Amin Jasuta No. 3, Kupang, AC 51237",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
54,"198006162019036797","Drs. Raden Mandala, M.Farm",Jakarta,1980-06-16,P,PNS,1,4,35,9,8,2019-03-18,Aktif,"Jl. Moch. Ramdan No. 760, Kotamobagu, SU 38525",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
55,"196701312020010737",Drajat Yuliarti,Depok,1967-01-31,L,PNS,1,4,31,1,10,2020-01-07,Pensiun,"Jl. Kebonjati No. 918, Kota Administrasi Jakarta Utara, Jawa Timur 09332",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
56,"200301162026019691",Cahyono Susanti,Solo,2003-01-16,P,PNS,1,2,25,18,1,2026-01-28,Aktif,"Gg. Cikutra Barat No. 3, Kota Administrasi Jakarta Pusat, Sulawesi Utara 51672",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
57,"197804142003046042",Ilyas Puspita,Denpasar,1978-04-14,P,PPPK,1,4,35,12,2,2003-04-28,Aktif,"Gg. Suniaraja No. 1, Palangkaraya, Aceh 09247",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
58,"199108252024056171",Laras Maryati,Palembang,1991-08-25,L,PPPK,1,4,41,9,8,2024-05-27,Aktif,"Jalan Rumah Sakit No. 4, Sungai Penuh, Maluku Utara 02003",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
59,"198304042012073490","KH. Jaka Anggriawan, M.TI.",Malang,1983-04-04,L,PNS,2,5,27,6,6,2012-07-19,Aktif,"Jl. Ciumbuleuit No. 46, Samarinda, Kepulauan Bangka Belitung 93660",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
60,"197610112000089133",Tania Prakasa,Palembang,1976-10-11,L,PNS,1,5,42,19,1,2000-08-24,Aktif,"Gg. Moch. Ramdan No. 632, Surakarta, Kalimantan Utara 84851",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
61,"198003302013104571",Winda Mangunsong,Yogyakarta,1980-03-30,P,PNS,1,4,25,8,8,2013-10-22,Aktif,"Jalan Waringin No. 34, Bontang, Kalimantan Selatan 48846",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
62,"198005162019086700","R.M. Warsita Hidayat, S.Farm",Medan,1980-05-16,P,PNS,1,4,13,16,8,2019-08-05,Aktif,"Jalan Bangka Raya No. 295, Kotamobagu, SR 08519",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
63,"197205192014119385",Dirja Kusmawati,Malang,1972-05-19,L,PNS,1,4,35,1,8,2014-11-13,Aktif,"Gang Suryakencana No. 279, Tanjungpinang, Nusa Tenggara Timur 15226",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
64,"199804302020107579","Rosman Napitupulu, S.Psi",Tasikmalaya,1998-04-30,P,PNS,2,4,13,8,2,2020-10-20,Aktif,"Gang Sukajadi No. 4, Tanjungpinang, JB 33120",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
65,"198412092015102706","Febi Hutasoit, M.Farm",Makassar,1984-12-09,L,PNS,1,5,8,11,6,2015-10-20,Aktif,"Jl. Yos Sudarso No. 8, Kendari, Sulawesi Tengah 15083",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
66,"199410312017059744","Drs. Zelaya Pratiwi, S.I.Kom",Semarang,1994-10-31,L,PNS,1,4,1,12,1,2017-05-08,Aktif,"Jalan Indragiri No. 84, Metro, LA 95733",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
67,"199505072024048599","Drs. Karman Aryani, M.Ak",Solo,1995-05-07,L,PNS,1,5,9,9,5,2024-04-07,Aktif,"Jalan Surapati No. 061, Bukittinggi, Gorontalo 32439",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
68,"200312062025116244","R.A. Dinda Uwais, S.Psi",Yogyakarta,2003-12-06,P,PNS,1,4,5,22,1,2025-11-07,Aktif,"Jalan Rajawali Timur No. 10, Bau-Bau, Sulawesi Selatan 42146",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
69,"196501242024045277","KH. Ibrani Prasasta, S.E.",Surabaya,1965-01-24,L,PNS,2,5,22,2,9,2024-04-24,Pensiun,"Gang Stasiun Wonokromo No. 932, Gorontalo, Banten 29100",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
70,"197007022022106764",Nyana Mandasari,Bogor,1970-07-02,P,PNS,6,5,23,13,9,2022-10-22,Aktif,"Jalan Rawamangun No. 99, Tarakan, Sumatera Utara 55072",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
71,"198503022009045640",drg. Edi Rahimah,Semarang,1985-03-02,P,PNS,1,6,16,12,2,2009-04-10,Aktif,"Gang Kendalsari No. 6, Palu, BB 48204",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
72,"196611041998087661",Drs. Faizah Farida,Solo,1966-11-04,P,PPPK,1,4,23,15,8,1998-08-25,Pensiun,"Jalan M.T Haryono No. 7, Parepare, SU 36140",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
73,"200203282025093531","Nadine Kusmawati, S.IP",Bandung,2002-03-28,P,PPPK,1,2,13,6,2,2025-09-27,Aktif,"Jalan Sadang Serang No. 2, Malang, Lampung 39825",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
74,"197712312019079481",Prasetya Laksita,Bogor,1977-12-31,L,PPPK,1,5,44,3,9,2019-07-14,Aktif,"Gang Asia Afrika No. 734, Solok, KR 41880",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
75,"198901192012070738","Hj. Ajeng Wacana, S.Gz",Makassar,1989-01-19,P,PNS,1,4,32,1,2,2012-07-05,Aktif,"Gg. Cikutra Barat No. 0, Jayapura, Jawa Tengah 11352",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
76,"198703052024114828",Gilda Permata,Bandung,1987-03-05,L,PNS,1,4,23,1,7,2024-11-17,Aktif,"Gg. H.J Maemunah No. 972, Meulaboh, DKI Jakarta 41661",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
77,"199712122022082117","R. Humaira Mahendra, M.Kom.",Solo,1997-12-12,P,PNS,1,4,28,6,2,2022-08-13,Aktif,"Gg. Sentot Alibasa No. 82, Tangerang Selatan, MU 25230",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
78,"198105262015056446",Galur Pangestu,Tasikmalaya,1981-05-26,L,PNS,1,4,46,13,8,2015-05-22,Aktif,"Jalan Jamika No. 849, Malang, Jawa Tengah 39896",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
79,"199907032026078643",Keisha Sihombing,Padang,1999-07-03,P,PPPK,1,4,41,8,6,2026-07-06,Aktif,"Jl. Rajiman No. 4, Kota Administrasi Jakarta Barat, Sulawesi Selatan 90619",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
80,"198009042007012724",Hj. Jelita Simanjuntak,Denpasar,1980-09-04,L,PNS,1,4,7,6,6,2007-01-02,Aktif,"Gg. Sadang Serang No. 16, Kotamobagu, Maluku Utara 46004",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
81,"198106102012127774",R. Cahyanto Tampubolon,Yogyakarta,1981-06-10,P,PPPK,1,5,24,18,6,2012-12-20,Aktif,"Gg. Antapani Lama No. 951, Kendari, DKI Jakarta 75819",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
82,"198809072021108415",Padmi Nuraini,Yogyakarta,1988-09-07,L,PPPK,1,4,37,5,8,2021-10-08,Aktif,"Jalan Sadang Serang No. 95, Kota Administrasi Jakarta Timur, Jambi 93347",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
83,"199901262026045719",Lega Sihombing,Malang,1999-01-26,L,PNS,1,4,40,18,5,2026-04-26,Aktif,"Jalan Jayawijaya No. 8, Bekasi, Bengkulu 39197",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
84,"196605131994091425",Tgk. Niyaga Yuniar,Malang,1966-05-13,L,PNS,1,5,33,18,6,1994-09-09,Pensiun,"Jalan BKR No. 3, Bengkulu, KR 01930",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
85,"197312262009013583","Juli Utami, M.Ak",Bekasi,1973-12-26,L,PPPK,1,4,10,18,7,2009-01-17,Aktif,"Gang Ahmad Yani No. 246, Padang, Papua 30508",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
86,"199310022017087369",Ulya Anggraini,Makassar,1993-10-02,L,PNS,1,2,9,2,1,2017-08-01,Aktif,"Gg. Rajawali Timur No. 40, Salatiga, JT 11120",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
87,"198909202011023662",Sidiq Laksmiwati,Depok,1989-09-20,L,PNS,1,4,45,22,2,2011-02-19,Aktif,"Gang Kendalsari No. 48, Depok, Maluku Utara 60156",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
88,"197009081996084963",Kiandra Riyanti,Solo,1970-09-08,P,PNS,1,4,47,3,1,1996-08-15,Aktif,"Gg. Suniaraja No. 772, Semarang, SU 30452",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
89,"196507141989020589",Galih Wahyudin,Bandung,1965-07-14,P,PNS,1,4,23,23,1,1989-02-17,Pensiun,"Jalan Ir. H. Djuanda No. 0, Bengkulu, KS 89713",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
90,"197105192025127421",Lukita Rahayu,Yogyakarta,1971-05-19,P,PNS,1,4,1,6,10,2025-12-21,Aktif,"Jl. Tubagus Ismail No. 681, Mataram, Aceh 57493",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
91,"196409072005127283","Bala Mansur, S.Pt",Medan,1964-09-07,P,PPPK,3,4,10,16,7,2005-12-23,Pensiun,"Gang Moch. Ramdan No. 2, Pekalongan, BT 83538",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
92,"196512262012094084",Kenes Uyainah,Malang,1965-12-26,P,PNS,1,4,28,5,9,2012-09-10,Aktif,"Gg. Pelajar Pejuang No. 37, Kota Administrasi Jakarta Selatan, Sulawesi Tengah 68586",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
93,"198411132019016496",R.A. Zulaikha Januar,Denpasar,1984-11-13,P,PNS,1,5,8,23,7,2019-01-12,Aktif,"Jl. Cihampelas No. 57, Bima, Sulawesi Tengah 62487",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
94,"196412311989101084",Murti Januar,Surabaya,1964-12-31,L,PNS,1,4,11,3,2,1989-10-11,Pensiun,"Jl. Dr. Djunjunan No. 43, Cilegon, Kepulauan Riau 84711",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
95,"198508042015069766",Kamidin Waskita,Bandung,1985-08-04,L,PNS,1,4,23,2,6,2015-06-25,Aktif,"Gg. S. Parman No. 5, Mojokerto, KB 92113",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
96,"199703162019053640","Ilsa Hardiansyah, M.Ak",Yogyakarta,1997-03-16,P,PNS,1,4,8,11,1,2019-05-15,Aktif,"Gang Gardujati No. 978, Kota Administrasi Jakarta Timur, KT 91313",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
97,"199105012022043718",Sutan Marsudi Mandasari,Bandung,1991-05-01,L,PNS,1,4,20,4,6,2022-04-01,Aktif,"Gang Raya Ujungberung No. 071, Bandung, Kalimantan Selatan 03159",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
98,"199810062020083935","Zamira Rahayu, S.Pt",Semarang,1998-10-06,P,PNS,1,4,37,20,2,2020-08-24,Aktif,"Jalan Pasir Koja No. 20, Cimahi, Maluku 88107",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
99,"197209292010018490",Balapati Budiman,Medan,1972-09-29,L,PNS,1,4,17,4,7,2010-01-09,Aktif,"Jalan Waringin No. 28, Cirebon, SS 00857",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
100,"197404082019061842",Widya Kuswandari,Padang,1974-04-08,L,PNS,1,4,22,21,9,2019-06-09,Aktif,"Gg. Lembong No. 7, Pontianak, Aceh 71504",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
101,"198203172005084131","Harsana Saefullah, M.M.",Yogyakarta,1982-03-17,L,PNS,1,5,7,3,1,2005-08-28,Aktif,"Jl. Kutisari Selatan No. 143, Samarinda, Lampung 42140",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
102,"196504051996034032",Vicky Purwanti,Cirebon,1965-04-05,P,PNS,1,4,28,2,5,1996-03-24,Aktif,"Gang Pelajar Pejuang No. 58, Medan, Bali 01439",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
103,"197211232007121599","Cengkal Suwarno, M.Kom.",Padang,1972-11-23,L,PNS,1,4,18,18,8,2007-12-22,Aktif,"Gg. PHH. Mustofa No. 018, Pagaralam, Maluku 53954",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
104,"197808162013063625",Sadina Pradana,Makassar,1978-08-16,L,PPPK,1,4,20,7,8,2013-06-20,Aktif,"Gang Pacuan Kuda No. 956, Banjarmasin, BE 53562",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
105,"200311232025041551","dr. Estiono Puspasari, M.Ak",Cirebon,2003-11-23,P,PNS,2,2,16,5,2,2025-04-12,Aktif,"Jalan Suniaraja No. 644, Banda Aceh, Aceh 05569",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
106,"197008252006101137",Hafshah Hutapea,Jakarta,1970-08-25,L,PPPK,1,5,43,7,8,2006-10-24,Aktif,"Gang Siliwangi No. 701, Palu, Bali 54533",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
107,"196505272004069762",Emas Uyainah,Padang,1965-05-27,L,PNS,1,5,25,9,8,2004-06-09,Pensiun,"Gang Ahmad Dahlan No. 9, Sungai Penuh, Bali 85218",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
108,"197211232019038331",Gading Narpati,Padang,1972-11-23,P,PNS,1,4,42,23,8,2019-03-26,Aktif,"Jl. Pasteur No. 56, Banjar, Sulawesi Tenggara 41396",2026-07-08 00:57:02.722,2026-07-08 00:57:02.722
